title,authors,venue,date,cited_by,doi,abstract,query,rank_type,rank
Bridging Continual Learning and Green Cloud Computing: Foundations for Sustainable Time Series Anomaly Detection,Smendowski M.,Journal of Grid Computing,2026-09-01,0,10.1007/s10723-026-09846-5,,Q7 评估协议（状态监测）,相关度/默认,9
Towards a more realistic evaluation of machine learning models for bearing fault diagnosis,Vieira J.P.,Mechanical Systems and Signal Processing,2026-08-15,2,10.1016/j.ymssp.2026.114640,,Q7 评估协议（状态监测）,相关度/默认,10
Domain Adaptive Transfer Learning for Fault Diagnosis,Wang Q.,Proceedings 2019 Prognostics and System Health Management Conference Phm Paris 2019,2019-05-01,142,10.1109/PHM-Paris.2019.00054,,Q7 评估协议（状态监测）,被引最多,1
Envelope dynamic analysis: A new approach for milling process monitoring,Bisu C.F.,International Journal of Advanced Manufacturing Technology,2012-09-01,32,10.1007/s00170-011-3814-4,,Q7 评估协议（状态监测）,被引最多,2
A wireless sensor network based pipeline monitoring system,Anupama K.R.,2014 International Conference on Signal Processing and Integrated Networks Spin 2014,2014-01-01,21,10.1109/spin.2014.6776989,,Q7 评估协议（状态监测）,被引最多,3
Advanced Non-Destructive Testing Simulation and Modeling Approaches for Fiber-Reinforced Polymer Pipes: A Review,Tai J.L.,Materials,2025-06-01,12,10.3390/ma18112466,,Q7 评估协议（状态监测）,被引最多,4
The assessment of dynamic mental stress with wearable heart activity monitoring system,Kim K.S.,Transactions of the Korean Institute of Electrical Engineers,2008-06-01,9,,,Q7 评估协议（状态监测）,被引最多,5
Real-time ischemic condition monitoring in normoglycemic and hyperglycemic rats,Choi S.,Physiological Measurement,2010-01-01,6,10.1088/0967-3334/31/3/011,,Q7 评估协议（状态监测）,被引最多,6
Exploring Wavelet Transformations for Deep Learning-Based Machine Condition Diagnosis,Piedad E.,Diagnostika 2024 2024 International Conference on Diagnostics in Electrical Engineering Proceedings,2024-01-01,6,10.1109/Diagnostika61830.2024.10693895,,Q7 评估协议（状态监测）,被引最多,7
SemanticRail3D - A Mobile LiDAR Benchmark for Semantic and Instance Segmentation of Railway Corridors,Ghasemlou A.,Scientific Data,2026-12-01,4,10.1038/s41597-025-06392-9,,Q7 评估协议（状态监测）,被引最多,8
From Inconsistency to Unity: Benchmarking Deep Learning-Based Unsupervised Domain Adaptation for RUL,Krokotsch T.,IEEE Transactions on Automation Science and Engineering,2026-01-01,4,10.1109/TASE.2025.3528469,,Q7 评估协议（状态监测）,被引最多,9
Robust Data-Driven Fault Diagnostics for Rotating Machinery Operating under Varying Working Conditions,Latil D.,9th 2023 International Conference on Control Decision and Information Technologies Codit 2023,2023-01-01,4,10.1109/CoDIT58514.2023.10284098,,Q7 评估协议（状态监测）,被引最多,10
Probabilistic anomaly detection transfer learning toward reliable early fault warning,Lv K.,Neurocomputing,2026-11-07,0,10.1016/j.neucom.2026.134506,,Q8 单类方法在轴承上的对比,相关度/默认,1
Industrial large model-driven online early fault warning: A novel incremental anomaly detection framework with wavelet scattering contrastive transformer,Zhang Z.,Applied Soft Computing,2026-11-01,0,10.1016/j.asoc.2026.115975,,Q8 单类方法在轴承上的对比,相关度/默认,2
One-class-supervised fault diagnosis using flow-encoded subspace clustering,Li C.,Applied Soft Computing,2026-11-01,0,10.1016/j.asoc.2026.116191,,Q8 单类方法在轴承上的对比,相关度/默认,3
Systematic ergonomic evaluation of an active back-support exoskeleton,Forgione C.,Applied Ergonomics,2026-10-01,0,10.1016/j.apergo.2026.104798,,Q8 单类方法在轴承上的对比,相关度/默认,4
Adaptive distribution transformation for enhanced bearing fault detection in independent cart systems,Jabbar A.,ISA Transactions,2026-09-01,0,10.1016/j.isatra.2026.06.005,,Q8 单类方法在轴承上的对比,相关度/默认,5
"Permeability prediction through machine learning regression in gas hydrate bearing sediments of Krishna-Godavari basin, using NGHP-02 well log data",Yadav P.K.,Marine Geophysical Research,2026-09-01,0,10.1007/s11001-026-09623-9,,Q8 单类方法在轴承上的对比,相关度/默认,6
An open-weight Large Language Model agent for condition monitoring and predictive maintenance in wind energy systems,Hasan A.,Energy and AI,2026-09-01,1,10.1016/j.egyai.2026.100828,,Q8 单类方法在轴承上的对比,相关度/默认,7
A Novel Method for Generating Small-Sample Data of the Satellite Power Subsystem With InCoTimeGAN Integrating Self-Checking and Information Enhancement,Liu J.,IEEE Sensors Journal,2026-09-01,0,10.1109/JSEN.2026.3707885,,Q8 单类方法在轴承上的对比,相关度/默认,8
An Incremental Contrastive Learning Method for Compound Fault Diagnosis of Rolling Bearings,Liu J.,IEEE Internet of Things Journal,2026-08-15,0,10.1109/JIOT.2026.3703119,,Q8 单类方法在轴承上的对比,相关度/默认,9
Self-Supervised CNN–Transformer Anomaly Detection for Bearing Health Monitoring,Zaidi S.H.H.,Processes,2026-08-01,0,10.3390/pr14152452,,Q8 单类方法在轴承上的对比,相关度/默认,10
DHODH modulates transcriptional elongation in the neural crest and melanoma,White R.M.,Nature,2011-03-24,412,10.1038/nature09882,,Q8 单类方法在轴承上的对比,被引最多,1
A magnetically recyclable chitosan composite adsorbent functionalized with EDTA for simultaneous capture of anionic dye and heavy metals in complex wastewater,Chen B.,Chemical Engineering Journal,2019-01-15,373,10.1016/j.cej.2018.08.222,,Q8 单类方法在轴承上的对比,被引最多,2
An explainable artificial intelligence approach for unsupervised fault detection and diagnosis in rotating machinery,Brito L.C.,Mechanical Systems and Signal Processing,2022-01-15,340,10.1016/j.ymssp.2021.108105,,Q8 单类方法在轴承上的对比,被引最多,3
N-Heterocyclic carbenes as tunable ligands for catalytic metal surfaces,Koy M.,Nature Catalysis,2021-05-01,275,10.1038/s41929-021-00607-z,,Q8 单类方法在轴承上的对比,被引最多,4
Vibration-based anomaly detection using LSTM/SVM approaches,Vos K.,Mechanical Systems and Signal Processing,2022-04-15,245,10.1016/j.ymssp.2021.108752,,Q8 单类方法在轴承上的对比,被引最多,5
Compositional analyses of lunar pyroclastic deposits,Gaddis L.R.,Icarus,2003-02-01,242,10.1016/S0019-1035(02)00036-2,,Q8 单类方法在轴承上的对比,被引最多,6
Copper(II)-Catalyzed Asymmetric Photoredox Reactions: Enantioselective Alkylation of Imines Driven by Visible Light,Li Y.,Journal of the American Chemical Society,2018-11-21,212,10.1021/jacs.8b09251,,Q8 单类方法在轴承上的对比,被引最多,7
Automatic bearing fault diagnosis based on one-class m-SVM,Fernández-Francos D.,Computers and Industrial Engineering,2013-01-01,200,10.1016/j.cie.2012.10.013,,Q8 单类方法在轴承上的对比,被引最多,8
"The origin of tonsteins, an overview, and links with seatearths, fireclays and fragmental clay rocks",Spears D.A.,International Journal of Coal Geology,2012-05-01,183,10.1016/j.coal.2011.09.008,,Q8 单类方法在轴承上的对比,被引最多,9
Molecular characterization of multidrug-resistant Salmonella enterica subsp. enterica serovar Typhimurium isolates from swine,Gebreyes W.A.,Journal of Clinical Microbiology,2002-08-01,181,10.1128/JCM.40.8.2813-2822.2002,,Q8 单类方法在轴承上的对比,被引最多,10
Rolling element bearing fault diagnosis based on modified Pufferfish optimization assisted efficient customized convolutional neural network with IMI-EMD,Pandiyan M.,Scientific Reports,2026-12-01,0,10.1038/s41598-026-50930-3,,Q9 健康数据误报,相关度/默认,1
Probabilistic anomaly detection transfer learning toward reliable early fault warning,Lv K.,Neurocomputing,2026-11-07,0,10.1016/j.neucom.2026.134506,,Q9 健康数据误报,相关度/默认,2
Rapid screening and precise diagnosis of main bearing failures in aircraft engines under extremely low signal-to-noise ratios: Theoretical framework and experimental validation,Bai X.,Aerospace Science and Technology,2026-11-01,0,10.1016/j.ast.2026.113160,,Q9 健康数据误报,相关度/默认,3
Assessment of the Condition of Pump Units Based on Vibration Diagnostic Indicators to Support Sustainable Development Goals (SDGs) in Sustainable Water Infrastructure,Ergashev R.R.,Asean Journal of Science and Engineering,2026-09-01,0,10.17509/ajse.v6i2.90208,,Q9 健康数据误报,相关度/默认,4
Two-stage dual-domain clustering fusion model for serviceability assessment in flywheel bearings,Wang J.,Journal of Mechanical Science and Technology,2026-08-01,0,10.1007/s12206-026-0704-0,,Q9 健康数据误报,相关度/默认,5
Multi-harmonic verification for gearbox fault feature extraction under strong noise,Yang Y.,Engineering Research Express,2026-08-01,0,10.1088/2631-8695/ae967a,,Q9 健康数据误报,相关度/默认,6
Multi-source variational decoupling network with adaptive source activation for zero-shot compound fault diagnosis,Wang T.,Measurement Science and Technology,2026-08-01,0,10.1088/1361-6501/ae9578,,Q9 健康数据误报,相关度/默认,7
Training-Aware Wavelet-Domain Controlled-Noise Augmentation for Residual Network-Based Bearing Fault Diagnosis,Li Y.,Machines,2026-08-01,0,10.3390/machines14080929,,Q9 健康数据误报,相关度/默认,8
Motor-Current-Based Bearing Fault Detection Under Unseen Operating Conditions,Cekic Y.,Energies,2026-08-01,0,10.3390/en19163884,,Q9 健康数据误报,相关度/默认,9
Box-Cox sparsity measure-based impulse extraction for gearbox condition monitoring,Tang S.,Mechanical Systems and Signal Processing,2026-07-15,0,10.1016/j.ymssp.2026.114499,,Q9 健康数据误报,相关度/默认,10
Overcoming interference: An fMRI investigation of pattern separation in the medial temporal lobe,Kirwan C.B.,Learning and Memory,2007-09-01,305,10.1101/lm.663507,,Q9 健康数据误报,被引最多,1
Combined optical and x-ray tomosynthesis breast imaging,Fang Q.,Radiology,2011-01-01,207,10.1148/radiol.10082176,,Q9 健康数据误报,被引最多,2
Assessment of gear damage monitoring techniques using vibration measurements,Wang W.Q.,Mechanical Systems and Signal Processing,2001-01-01,204,10.1006/mssp.2001.1392,,Q9 健康数据误报,被引最多,3
Multisensor wireless system for eccentricity and bearing fault detection in induction motors,Esfahani E.T.,IEEE ASME Transactions on Mechatronics,2014-01-01,155,10.1109/TMECH.2013.2260865,,Q9 健康数据误报,被引最多,4
A New Online Detection Approach for Rolling Bearing Incipient Fault via Self-Adaptive Deep Feature Matching,Mao W.,IEEE Transactions on Instrumentation and Measurement,2020-02-01,136,10.1109/TIM.2019.2903699,,Q9 健康数据误报,被引最多,5
A novel health indicator for intelligent prediction of rolling bearing remaining useful life based on unsupervised learning model,Xu Z.,Computers and Industrial Engineering,2023-02-01,120,10.1016/j.cie.2023.108999,,Q9 健康数据误报,被引最多,6
Determination of the combined vibrational and acoustic emission signature of a wind turbine gearbox and generator shaft in service as a pre-requisite for effective condition monitoring,Soua S.,Renewable Energy,2013-03-01,111,10.1016/j.renene.2012.07.004,,Q9 健康数据误报,被引最多,7
Notice of Removal: Using current signature analysis technology to reliably detect cage winding defects in squirrel-cage induction motors,Culbert I.M.,IEEE Transactions on Industry Applications,2007-01-01,91,10.1109/TIA.2006.889915,,Q9 健康数据误报,被引最多,8
Online detection of bearing incipient fault with semi-supervised architecture and deep feature representation,Mao W.,Journal of Manufacturing Systems,2020-04-01,89,10.1016/j.jmsy.2020.03.005,,Q9 健康数据误报,被引最多,9
Detection of generalized-roughness and single-point bearing faults using linear prediction-based current noise cancellation,Dalvand F.,IEEE Transactions on Industrial Electronics,2018-12-01,76,10.1109/TIE.2018.2821645,,Q9 健康数据误报,被引最多,10
A supervised fault diagnosis model based on evolutionary wavelet kernels and multilayer perceptrons,Xiao S.,Measurement Journal of the International Measurement Confederation,2026-11-15,0,10.1016/j.measurement.2026.123029,,Q10 样本量与深度学习诊断,相关度/默认,1
A novel interpretable fault diagnosis approach for chillers based on self-adaptive oversampling technique and tree-based multi-meta stacking ensemble method,Jia Z.,Engineering Applications of Artificial Intelligence,2026-10-01,0,10.1016/j.engappai.2026.115500,,Q10 样本量与深度学习诊断,相关度/默认,2
Remb: regularized embedding memory book to extend metric learning in fault diagnosis,Solís-Martín D.,Journal of Intelligent Manufacturing,2026-09-01,0,10.1007/s10845-025-02697-z,,Q10 样本量与深度学习诊断,相关度/默认,3
A gear fault diagnosis method for wind turbines based on HDDL and ConvNeXt under limited sample conditions,Xu G.,Proceedings of the Institution of Mechanical Engineers Part C Journal of Mechanical Engineering Science,2026-08-01,0,10.1177/09544062261444107,,Q10 样本量与深度学习诊断,相关度/默认,4
Adaptive CNN-BO-XGBoost framework for traction motor fault diagnosis,Liu Y.,Signal Image and Video Processing,2026-08-01,0,10.1007/s11760-026-05579-w,,Q10 样本量与深度学习诊断,相关度/默认,5
Fourier Regularized Gram Matrix: A Two-dimensional Representation Method for Motor Fault Diagnosis in Deep Learning,Xu B.,Zhongguo Dianji Gongcheng Xuebao Proceedings of the Chinese Society of Electrical Engineering,2026-06-20,0,10.13334/j.0258-8013.pcsee.250830,,Q10 样本量与深度学习诊断,相关度/默认,6
Data-Driven Cable Terminal State Detection and Fault Diagnosis Methods,Liu K.,Chinese Journal of Electrical Engineering,2026-06-01,0,10.23919/CJEE.2026.000004,,Q10 样本量与深度学习诊断,相关度/默认,7
DBANet: A dual-branch dynamic convolutional temporal attention network for few-shot wind turbine bearing fault diagnosis,Du Y.,Expert Systems with Applications,2026-05-15,6,10.1016/j.eswa.2026.131361,,Q10 样本量与深度学习诊断,相关度/默认,8
Hybrid Deep Learning for Hydraulic Cylinder Fault Diagnosis under Complex Conditions via Multi-Source Signal Fusion,Yang C.,Instrumentation,2026-05-06,4,10.15878/j.instr.202600318,,Q10 样本量与深度学习诊断,相关度/默认,9
An Explainable Plane-Wise ConvNet Approach for Detecting Femoral Head Osteonecrosis from Magnetic Resonance Images,Demir Ş.,Bioengineering,2026-05-01,0,10.3390/bioengineering13050529,,Q10 样本量与深度学习诊断,相关度/默认,10
The Multiclass Fault Diagnosis of Wind Turbine Bearing Based on Multisource Signal Fusion and Deep Learning Generative Model,Zhang L.,IEEE Transactions on Instrumentation and Measurement,2022-01-01,242,10.1109/TIM.2022.3178483,,Q10 样本量与深度学习诊断,被引最多,1
Conditional GAN and 2-D CNN for Bearing Fault Diagnosis with Small Samples,Yang J.,IEEE Transactions on Instrumentation and Measurement,2021-01-01,224,10.1109/TIM.2021.3119135,,Q10 样本量与深度学习诊断,被引最多,2
CLFormer: A Lightweight Transformer Based on Convolutional Embedding and Linear Self-Attention with Strong Robustness for Bearing Fault Diagnosis under Limited Sample Conditions,Fang H.,IEEE Transactions on Instrumentation and Measurement,2022-01-01,224,10.1109/TIM.2021.3132327,,Q10 样本量与深度学习诊断,被引最多,3
Few-Shot Cross-Domain Fault Diagnosis of Bearing Driven by Task-Supervised ANIL,Shao H.,IEEE Internet of Things Journal,2024-07-01,197,10.1109/JIOT.2024.3360432,,Q10 样本量与深度学习诊断,被引最多,4
Transfer learning with deep recurrent neural networks for remaining useful life estimation,Zhang A.,Applied Sciences Switzerland,2018-11-28,188,10.3390/app8122416,,Q10 样本量与深度学习诊断,被引最多,5
Rolling Bearing Fault Diagnosis Using Time-Frequency Analysis and Deep Transfer Convolutional Neural Network,Chen Z.,IEEE Access,2020-01-01,135,10.1109/ACCESS.2020.3016888,,Q10 样本量与深度学习诊断,被引最多,6
A novel model with the ability of few-shot learning and quick updating for intelligent fault diagnosis,Ren Z.,Mechanical Systems and Signal Processing,2020-04-01,134,10.1016/j.ymssp.2019.106608,,Q10 样本量与深度学习诊断,被引最多,7
Diagnosis of Interturn Short-Circuit Faults in Permanent Magnet Synchronous Motors Based on Few-Shot Learning under a Federated Learning Framework,Zhang J.,IEEE Transactions on Industrial Informatics,2021-12-01,118,10.1109/TII.2021.3067915,,Q10 样本量与深度学习诊断,被引最多,8
Residual wide-kernel deep convolutional auto-encoder for intelligent rotating machinery fault diagnosis with limited samples,Yang D.,Neural Networks,2021-09-01,113,10.1016/j.neunet.2021.04.003,,Q10 样本量与深度学习诊断,被引最多,9
Digital twin-assisted dual transfer: A novel information-model adaptation method for rolling bearing fault diagnosis,Li Z.,Information Fusion,2024-06-01,104,10.1016/j.inffus.2024.102271,,Q10 样本量与深度学习诊断,被引最多,10
Discriminatory ability of WL Nutrient Agar for yeasts associated with olive environments: a binary scoring and machine learning approach,Parente E.,Food Microbiology,2027-03-01,0,10.1016/j.fm.2026.105282,,Q11 基准方差与报告,相关度/默认,1
Multi-horizon solar irradiance forecasting under variable sky conditions through CNN–TCN feature learning and XGBoost,Bennagi A.,Unconventional Resources,2027-03-01,0,10.1016/j.uncres.2026.100487,,Q11 基准方差与报告,相关度/默认,2
Comprehensive systematic literature review in hand–eye camera calibration,Almutairi D.,Robotics and Computer Integrated Manufacturing,2027-02-01,0,10.1016/j.rcim.2026.103389,,Q11 基准方差与报告,相关度/默认,3
CroIPNet: Cross-site Individual-Population Graph Integration Network for neurodevelopmental disorder understanding,Wu K.,Pattern Recognition,2027-02-01,0,10.1016/j.patcog.2026.114790,,Q11 基准方差与报告,相关度/默认,4
RIOT: a Riemannian–optimal transport ensemble for robust supply chain delay prediction,Zhang Y.,Expert Systems with Applications,2027-01-15,0,10.1016/j.eswa.2026.134295,,Q11 基准方差与报告,相关度/默认,5
Empirical Evaluation of Rule-Based and Machine Learning Approaches for Fault Detection in Building HVAC Systems,Koitz-Hristov R.,Lecture Notes in Computer Science,2027-01-01,0,10.1007/978-981-92-2888-1_1,,Q11 基准方差与报告,相关度/默认,6
"Application of machine learning models for lithofacies prediction in the Rio Del Rey (RDR) Basin, Cameroon",Vannelle Sapp A.,Physics and Chemistry of the Earth,2027-01-01,0,10.1016/j.pce.2026.104811,,Q11 基准方差与报告,相关度/默认,7
Unsupervised Learning of Density Estimates with Topological Optimization,Tanweer S.,Lecture Notes in Computer Science,2027-01-01,0,10.1007/978-3-032-31654-7_23,,Q11 基准方差与报告,相关度/默认,8
"Machine learning-enabled label-free SERS for microbial sensing: Toward robust, generalizable, and deployable workflows",Mahmud S.,Talanta,2027-01-01,0,10.1016/j.talanta.2026.130241,,Q11 基准方差与报告,相关度/默认,9
A Benchmark Study for Reporting Feasibility in AI-Based Infant Hearing Screening: Exploring the Limits of Passive Sensing,Corso L.,Lecture Notes in Computer Science,2027-01-01,0,10.1007/978-3-032-30710-1_38,,Q11 基准方差与报告,相关度/默认,10
PointCNN: Convolution on X-transformed points,Li Y.,Advances in Neural Information Processing Systems,2018-01-01,2727,,,Q11 基准方差与报告,被引最多,1
DNA methylation-based classification of central nervous system tumours,Capper D.,Nature,2018-03-22,2624,10.1038/nature26000,,Q11 基准方差与报告,被引最多,2
Self-normalizing neural networks,Klambauer G.,Advances in Neural Information Processing Systems,2017-01-01,2094,,,Q11 基准方差与报告,被引最多,3
Recent decline in the global land evapotranspiration trend due to limited moisture supply,Jung M.,Nature,2010-10-21,2072,10.1038/nature09396,,Q11 基准方差与报告,被引最多,4
Accurate proteome-wide missense variant effect prediction with AlphaMissense,Cheng J.,Science,2023-09-22,1612,10.1126/science.adg7492,,Q11 基准方差与报告,被引最多,5
Man vs. computer: Benchmarking machine learning algorithms for traffic sign recognition,Stallkamp J.,Neural Networks,2012-08-01,1560,10.1016/j.neunet.2012.02.016,,Q11 基准方差与报告,被引最多,6
Bayesian reaction optimization as a tool for chemical synthesis,Shields B.J.,Nature,2021-02-04,939,10.1038/s41586-021-03213-y,,Q11 基准方差与报告,被引最多,7
PredictSNP: Robust and Accurate Consensus Classifier for Prediction of Disease-Related Mutations,Bendl J.,Plos Computational Biology,2014-01-01,734,10.1371/journal.pcbi.1003440,,Q11 基准方差与报告,被引最多,8
Deep-learning-assisted diagnosis for knee magnetic resonance imaging: Development and retrospective validation of MRNet,Bien N.,Plos Medicine,2018-11-01,665,10.1371/journal.pmed.1002699,,Q11 基准方差与报告,被引最多,9
"An enhanced extreme learning machine model for river flow forecasting: State-of-the-art, practical applications in water resource engineering area and future research direction",Yaseen Z.M.,Journal of Hydrology,2019-02-01,618,10.1016/j.jhydrol.2018.11.069,,Q11 基准方差与报告,被引最多,10
"Seasonal explainability in machine learning-based solar forecasting for smart grid energy management: Insights from SHAP, PFI, PDP, and ICE analyses",Ozdemir G.,Electric Power Systems Research,2027-04-01,0,10.1016/j.epsr.2026.113912,,Q12 泄漏与时间序列验证,相关度/默认,1
Mechanistic interpretability of Mamba's selective gate in financial markets: A leakage-controlled study,Roy D.,Pattern Recognition,2027-02-01,0,10.1016/j.patcog.2026.114809,,Q12 泄漏与时间序列验证,相关度/默认,2
Secure and adaptive user gait authentication framework for metaverse,Ravikanti S.,Expert Systems with Applications,2027-01-15,0,10.1016/j.eswa.2026.134099,,Q12 泄漏与时间序列验证,相关度/默认,3
Handheld near-infrared spectroscopy for detecting staphylococcal inoculation-associated changes in ex vivo human bone,Rabiser K.,Spectrochimica Acta Part A Molecular and Biomolecular Spectroscopy,2027-01-05,0,10.1016/j.saa.2026.128537,,Q12 泄漏与时间序列验证,相关度/默认,4
Leakage-free evaluation and distribution-robust spatio-temporal graph learning for inductive kriging,Yang C.,Pattern Recognition,2027-01-01,0,10.1016/j.patcog.2026.114638,,Q12 泄漏与时间序列验证,相关度/默认,5
Representation stability is not detectability: A leakage-free evaluation of frozen time series foundation models for anomaly detection under concept drift,Yang K.C.,Applied Soft Computing,2027-01-01,0,10.1016/j.asoc.2026.116360,,Q12 泄漏与时间序列验证,相关度/默认,6
LEAP: A Leakage-Free Evolutionary Alpha Pipeline for NLP-Driven DJIA Prediction,Cunha M.P.,Lecture Notes in Computer Science,2027-01-01,0,10.1007/978-3-032-30494-0_5,,Q12 泄漏与时间序列验证,相关度/默认,7
Temporal Modeling for Anomaly Detection in Industrial Control Systems,Wang Z.,Communications in Computer and Information Science,2027-01-01,0,10.1007/978-981-92-5039-4_9,,Q12 泄漏与时间序列验证,相关度/默认,8
PhenoNorm: A Phenology-Aligned Framework for Robust Multi-country Crop Yield Prediction,Asadi P.,Lecture Notes in Computer Science,2027-01-01,0,10.1007/978-3-032-34377-2_14,,Q12 泄漏与时间序列验证,相关度/默认,9
A Comparative Analysis of Machine Learning Models Employed for Spatiotemporal Trajectory Prediction in BRT Systems,Cuchia J.A.,Communications in Computer and Information Science,2027-01-01,0,10.1007/978-3-032-33381-0_11,,Q12 泄漏与时间序列验证,相关度/默认,10
Global evaluation of new GRACE mascon products for hydrologic applications,Scanlon B.R.,Water Resources Research,2016-12-01,539,10.1002/2016WR019494,,Q12 泄漏与时间序列验证,被引最多,1
Evaluation of slice accelerations using multiband echo planar imaging at 3T,Xu J.,Neuroimage,2013-12-01,437,10.1016/j.neuroimage.2013.07.055,,Q12 泄漏与时间序列验证,被引最多,2
AppIntent: Analyzing sensitive data transmission in Android for privacy leakage detection,Yang Z.,Proceedings of the ACM Conference on Computer and Communications Security,2013-12-09,348,10.1145/2508859.2516676,,Q12 泄漏与时间序列验证,被引最多,3
Data Security Sharing and Storage Based on a Consortium Blockchain in a Vehicular Ad-hoc Network,Zhang X.,IEEE Access,2019-01-01,287,10.1109/ACCESS.2018.2890736,,Q12 泄漏与时间序列验证,被引最多,4
Dynamic evaluation of drilling leakage risk based on fuzzy theory and PSO-SVR algorithm,Liang H.,Future Generation Computer Systems,2019-06-01,176,10.1016/j.future.2018.12.068,,Q12 泄漏与时间序列验证,被引最多,5
Real-time water quality monitoring using Internet of Things in SCADA,Saravanan K.,Environmental Monitoring and Assessment,2018-09-01,174,10.1007/s10661-018-6914-x,,Q12 泄漏与时间序列验证,被引最多,6
A user friendly mutual authentication and key agreement scheme for wireless sensor networks using chaotic maps,Kumari S.,Future Generation Computer Systems,2016-10-01,168,10.1016/j.future.2016.04.016,,Q12 泄漏与时间序列验证,被引最多,7
Leakage-aware energy synchronization for wireless sensor networks,Zhu T.,Mobisys 09 Proceedings of the 7th ACM International Conference on Mobile Systems Applications and Services,2009-06-22,161,10.1145/1555816.1555849,,Q12 泄漏与时间序列验证,被引最多,8
Evaluation of deep learning approaches for oil & gas pipeline leak detection using wireless sensor networks,Spandonidis C.,Engineering Applications of Artificial Intelligence,2022-08-01,149,10.1016/j.engappai.2022.104890,,Q12 泄漏与时间序列验证,被引最多,9
Development of a daytime cloud and haze detection algorithm for Himawari-8 satellite measurements over central and eastern China,Shang H.,Journal of Geophysical Research,2017-01-01,140,10.1002/2016JD025659,,Q12 泄漏与时间序列验证,被引最多,10
